序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag
149,【宜宾公交进入“纯电动”时代】#市州动态#宜宾首个集中式充电站安装送电工程竣工验收合格，标志宜宾公交车走进了“纯电动”时代。该大型充电站建于宜宾临港经济开发区，有26个智能充电桩，能满足50辆公交车同时充电，以保障电动公交车线路正常运行。首批50辆“纯电动”公交车及示范线将于9月中 ????...展开全文c,9月6日 11:33,2,评论,4,微博 weibo.com,Fkxg4A2jb,0
150,最成都,9月6日 09:32,1,评论,1064,微博 weibo.com,Fkwt5geBW,0
151,【成都地铁最新车时刻表出炉 看准时间赶飞机】#市州动态#成都地铁首条机场专线地铁10号线一期将于9月6日9点16分开通试运营，9月5日，@成都地铁运营 公布了最新线路首末班车时刻表、换乘站点时刻表和天府通办理中心分布图。赶快收藏↓↓,9月6日 08:47,14,1,5,微博 weibo.com,Fkwaxts9o,0
152,【你现在状态的好坏，是你5年前的选择决定的】#四川早安#25岁的你，有很多理想，很多想做的事，可大多数时候你只是躺在床上玩手机。面对眼下的种种，你改变不了，又实在有梦。一个人目前状态的好坏，通常是他5年前的选择决定的。如果你不想30岁过疲惫的生活，就必须从25岁开始改变。过来人给你的 ????...展开全文c,9月6日 07:59,8,1,3,微博 weibo.com,FkvR3vNUE,0
153,#交通动态#注意！川九公路上“钢铁侠”出没，它们来保障你的通行安全啦！ ????,9月5日 18:29,1,1,2,360安全浏览器,FkqyAcwot,0
154,【峨眉：川零公路建设“提速”】#市州动态#日前，在川零公路峨眉山市川主乡蔡郎段，车辆穿梭，吊车挥舞，工人们架设桥梁板、编织钢筋，加快该段过山公路桥建设，现场一派繁忙景象。该公路全长22.26公里，预算总投资4亿元，是峨眉山旅游环线的重要组成部分。项目建成通车后，将把峨眉山沿线山岳风 ????...展开全文c,9月5日 15:29,1,评论,2,360安全浏览器,FkpnpxlbF,0
155,【眉山：岷江一桥改造项目施工忙】#市州动态#岷江一桥改造工程于2016年10月14日开工建设，截至目前已完成河道内桩基、墩柱施工，完成建安投资约6900万元。现正在进行河道内上部结构施工和两岸剩余墩柱施工，力争2018年春节前完成桥梁上游半幅贯通，实现交换通车。,9月5日 14:20,1,评论,2,360安全浏览器,FkoVv7AJX,0
156,【攀枝花：渡口立交3号桥有望提前开放交通】#市州动态#渡口立交3号桥位于省道214线南山路口，修建于上个世纪90年代初，是连接市区与仁和区、西区的重要通道。目前，渡口立交3号桥维修加固施工已完成桥梁加固裂纹修补、贴钢纤维板加固，更换伸缩缝和支座、桥面铺装等工作，正在进行人行道铺装和栏 ????...展开全文c,9月5日 11:39,转发,评论,1,360安全浏览器,FknRToxjc,0
157,"【都江堰M-TR旅游客运专线本月底开工】#交通动态#都江堰M-TR旅游客运专线由主线、都江堰支线、熊猫谷支线组成,线路全长总长20.33km,连接了离堆公园片区、滨江新区、中兴片区、青城山片区等区域,与成灌铁路共同构建了都江堰市的公共交通网络体系。预计M-TR旅游客运专线将于2019年实现通车试运营。",9月5日 09:15,3,1,3,360安全浏览器,FkmVpnyvF,0
158,#四川早安# “其实所有纠结做选择的人心里早就有了答案，咨询只是想得到内心所倾向的选择。最终的所谓命运，还是自己一步步走出来的。”——东野圭吾《解忧杂货店》 早安 ????,9月5日 08:00,2,评论,5,微博 weibo.com,FkmqTmfkE,0
159,#四川晚安#这个世界上有百分之五十的烦恼都是通过好好睡一觉就能解决的，至于剩下的一半，等睡醒再去想。晚安！ ? ????,9月4日 23:00,2,3,2,微博 weibo.com,FkiTI1H81,0
160,【成都：今起21路等8条公交线路恢复原走向】#市州动态#为配合成都中环龙腾西路、中环武侯大道跨线桥底层道路施工完毕，按照成都市交委、市交管局交通组织要求，今起，成都公交21、83、84、147、243、339、343、516路将恢复原线路走向。,9月4日 17:30,转发,1,1,微博 weibo.com,FkgJLb7Gb,0
161,【定了！9月6日成都地铁10号线正式开通】#市州动态历经3年多的建设运营筹备，在成都地铁线网中具有重要作用的首条机场专线——10号线一期工程将于2017年9月6日正式开通试运营。这条线路的开通试运营，实现了城市地铁交通与航空运输的无缝换乘，线路的开通对于分担机场大客流需求和带动临空经济示 ????...展开全文c,9月4日 16:27,3,5,3,360安全浏览器,FkgkqlAzW,0
162,【巴城南环线预计2018年10月全线通车】#市州动态#南环线建设再提速，熊家湾隧道已贯通，燕飞互通立交累计完成总工程量的95%。南环线为巴中城区至恩阳、巴中经开区的城市快速通道，起于省道302线通木垭，止于燕飞村互通立交，与西环线相接。该线全长16.682公里，建设工期为30个月。,9月4日 15:30,1,评论,6,微博 weibo.com,FkfX3eSac,0
163,【仁沐新高速马边支线动工】#市州动态# 日前，仁沐新高速公路马边支线LJ23标破土动工。仁沐新高速主线起于眉山市仁寿县满井镇，由北向南，经乐山市井研、犍为、沐川，到宜宾市屏山县新市镇附近，与规划建设的宜宾至攀枝花段高速公路相接，全长201.828公里，总投资248.8亿元。,9月4日 14:13,转发,评论,6,360安全浏览器,Fkfs8nRf5,0
164,"【雅西高速圣母庙隧道抢修完工 恢复双幅双向通行】#市州动态#8月28日晚21时50分左右，受连续降雨影响,圣母庙隧道右洞（成都至西昌方向）洞口上边坡发生溜坍，导致交通中断，路旁高压电杆断裂,变压器损坏。经过连续奋战，目前圣母庙隧道右洞洞口上边坡临时加固措施已完工，路段恢复双幅双向通行。",9月4日 11:15,转发,评论,3,360安全浏览器,FkehwAK07,0
165,"【内江市拆除国道321线内江境收费站消除安全隐患】#市州动态#为消除安全隐患,经内江市交通运输局研究并报请市政府同意,对国道321线内江境内的球溪、史家、隆昌三处未实施收费的收费站予以拆除。目前，市交投司已组织完成球溪、史家、隆昌三处收费站路面修复，清除了障碍物，确保了公路安全畅通。",9月4日 09:42,1,评论,2,360安全浏览器,FkdFMg7lS,0
166,#四川早安#已经起床的小伙伴在哪里？交通君才加完班 ????,9月2日 08:30,转发,3,7,微博 weibo.com,FjUlA81VB,0
167,【都江堰首个交通PPP项目签约 快捷旅游交通将串联起景区】#交通动态#都江堰M-TR旅游客运专线工程项目位于紫荆城以南、都汶高速以北的地块内，起于都江堰市仰天窝广场，止于成灌快铁青城山站，并串联万达文化旅游城、熊猫谷、成灌快铁都江堰站，有效连接了都江堰、青城山世界文化遗产地。工程总投 ????...展开全文c,9月1日 17:30,转发,评论,3,微博 weibo.com,FjOsgAUzY,0
168,【牛佛沱江二桥主桥顺利合拢 预计今年底前工程全面完工】#交通动态#牛佛沱江二桥建设工程为自贡市和大安区重点交通建设项目，是连接S309线自贡舒坪工业园至自贡港公路的重要桥梁，也是推动自贡临港经济开发区及沱江自贡牛佛港建设，实现“公、铁、水”联运的枢纽性工程。该桥位于牛佛沱江大桥下 ????...展开全文c,9月1日 15:41,1,2,1,360安全浏览器,FjNK85l8P,0
169,【“十三五”末红色景区基本实现三级以上公路网】#交通要闻#交通运输部近日正式印发《全国红色旅游公路规划( 2017-2020年)。规划确定了126个红色旅游公路项目，涉及28个省(区、市)，建设总里程约2442公里，总投资约231亿元，需安排车购税资金约74亿元，占项目总投资的32%。,9月1日 14:03,1,4,1,360安全浏览器,FjN6fqedA,0
170,【成渝高速资阳南站计划今年9月底通车】#交通动态#成渝高速公路资阳城南大道接口收费站站名字体已安装完成，该站取名为资阳高新区站，计划在今年9月底通车。成渝高速资阳南站是资阳高新区新增的重要出入口，也是资阳目前最大的在建收费站。相比老成渝，从这个收费站出发，距重庆方向缩短了5公里 ????...展开全文c,9月1日 11:17,1,1,1,360安全浏览器,FjM11tHXI,0
171,【新“甜城一卡通”惠及市民 7月实现异地消费534笔】#交通民生#内江从去年12月就已经发行可异地刷卡的新“甜城一卡通”，在全国“交通联合”刷卡终端上都能使用。目前实行“交通联合”一卡通的城市已经达到100余个，今年三月，内江城区内50多条无人售票的线路的车载终端已完成升级，可以使用“交 ????...展开全文c,9月1日 09:31,4,评论,2,360安全浏览器,FjLjTASSW,0
172,新华社消息，中共中央政治局8月31日召开会议，建议中国共产党第十九次全国代表大会10月18日在北京召开。,9月1日 09:21,1,评论,赞,360安全浏览器,FjLfSbm43,0
173,【奋斗路上告诉自己5句话】#四川早安#①人最大的对手是自己的懒惰；②做一件事不难，难在坚持；③尽力了，才有资格说是运气不好；④感觉累，也许是正处于人生的上坡路上；⑤最清晰的脚印，往往是印在最泥泞的路上。新的一天要加油，早安！,9月1日 08:30,1,2,2,微博 weibo.com,FjKV5fnft,0
174,#四川晚安#在你们那儿，把这个叫什么 ？ ????,8月31日 22:30,转发,17,4,微博 weibo.com,FjGZxg1Y6,0
175,【乐山长途客运中心站正式开始运行！】#市州动态#8月31日，就在今天，位于青江新区高铁站旁的乐山长途客运中心站将正式开始运行，老客运中心站将关闭。乐山长途客运中心站、高铁乐山站、乐山公交客运总站呈三角形分布，相隔就几百米的距离，真正的零换乘给乐山市民的出行带来了极大的方便。,8月31日 18:31,4,2,5,360安全浏览器,FjFqy1M4p,0
176,【航拍 | 探访国内最长地铁隧道】#交通分享#成都实施“东进”的控制性工程之一，全长66.71公里的地铁18号线是全国第一条穿越高瓦斯地层的城市轨道交通工程，9.7公里长的隧道是连通龙泉山两翼的“咽喉”，也是建设的重点和难点。截止目前，隧道已经完成了4.5公里，约占总进度的23%左右，施工进度 ????...展开全文c,8月31日 17:37,11,8,18,360安全浏览器,FjF4Fq5RZ,0
177,【厅公路设计院完成川九路灾后恢复重建重点路段地质调绘工作】#交通动态#近日，厅公路设计院完成川九路关门子至九寨沟沟口灾情严重路段灾后恢复重建方案地质调绘工作，对重要灾害点通过数码摄影测量获取了点云数据和三维模型，为地质灾害的判识和评估提供了重要支持。同时，该院还重点针对新二拐 ????...展开全文c,8月31日 15:25,2,评论,3,360安全浏览器,FjEdcztqj,0
178,【渝遂高速少云收费站临时关闭 预计9月4日开通】#交通动态#　G93渝遂高速因大修施工，从8月29日起，少云收费站进城方向一侧关闭，预计9月4号前开通。G93渝遂高速是重庆经四川省遂宁市到成都的重要交通要道。在此提醒，遂宁，潼南方向去往少云方向的车辆，请择道行驶，可在田家收费站提前下道，或 ????...展开全文c,8月31日 14:27,5,评论,赞,360安全浏览器,FjDPzhIaj,0
179,【9月起，这些新规将影响你我的生活！】#交通分享#①三大运营商全面取消长途费、漫游费；②中小学启用新版统编教材；③所有公立医院取消药品加成；④全国铁路列车运行图调整；⑤大学生创新创业成果可折算为学分……更多↓↓与你有关，扩散！,8月31日 12:52,9,1,1,360安全浏览器,FjDcY6Ptk,0
180,【国道108线瓷窑铺至七盘关段将停止收费】#交通动态#自2017年8月31日24:00起，国道108线瓷窑铺至七盘关二级专用公路(广北二专路)停止设站收取车辆通行费。国道108线瓷窑铺至七盘关二级专用公路(广北二专路)为四川北向进出川通道之一，全长48.51公里。经批准，该路段按经营性收费公路，自1998年6 ????...展开全文c,8月31日 12:04,3,7,2,360安全浏览器,FjCTNAPz2,0
181,【提醒司机不要鸣笛 成都6路公交车自制禁鸣手套】#交通分享#最近，成都6路公交车上有了一点小变化。原来，驾驶员右手佩戴的手套很不一样，上面画有明显的24小时禁鸣标识，画有图案的手套都在右手，手套的另一面还有公交车的车号。这是为提示驾驶员在开车时不鸣笛准备的，是成都公交车推出的 ????...展开全文c,8月31日 09:32,1,9,1,360安全浏览器,FjBTNwrkl,0
182,#四川早安#抱怨，是一种负能量，犹如搬起石头砸自己的脚，于人无益，于己不利，于事无补。 ????,8月31日 08:30,2,评论,5,微博 weibo.com,FjBuA46pf,0
183,#四川晚安#这个东西，在你们那里叫什么____？ ????,8月30日 22:30,2,28,3,微博 weibo.com,Fjxz34Y3U,0
184,【2016年公路建设市场全国综合信用评价发榜，看看你是哪一级】#交通动态#日前，交通运输部公布了2016年度公路建设市场全国综合信用评价结果，这是交通运输部连续两年同时公布包含公路设计、施工、监理企业及监理工程师的全国综合信用评价结果。,8月30日 17:54,转发,评论,1,360安全浏览器,FjvL81yzG,0
185,【成南高速建成四川省高速公路首个超微气浮湿地污水处理系统】#交通动态#该系统通过专利气泡发生器形成“气泡云”包裹水中小至0.05微米固、液体颗粒，上浮至水面形成浮渣层，能够去除高达99.9%的污染物。该技术比传统污水处理方式稳定且维护成本低，建造时搭配景观廊架与栈道，能在污水处理的同 ????...展开全文c,8月30日 15:49,1,1,3,360安全浏览器,FjuWC7ZQP,0
186,【9月 成自泸赤高速公路（泸州段）K267+650车行天桥交通管制】#交通动态#为确保维修工作顺利开展，泸州将在9月1日至9月30日期间对成自泸赤高速公路（泸州段）K267+650车行天桥实施临时交通管制。管制期间，禁止一切车辆人员通过。车辆绕行线路为机动车经成自泸赤高速公路绕行，即“董允坝收费站 ????...展开全文c,8月30日 14:16,1,1,1,360安全浏览器,Fjukyz5CO,0
187,【峨洪路黄湾至两河口段交管延期】#交通动态#因天气和施工难度等原因，峨眉山景区道路峨洪路K5公里（老鹰嘴）临时危岩处置未按时完工，需继续进行施工，为确保施工期间道路的通行安全，黄湾至两口河段道路夜间临时交通管制将延期。8月28日至9月3日期间，每日22：00起至次日凌晨4：00实施临时交通 ????...展开全文c,8月30日 11:37,2,评论,2,360安全浏览器,Fjti8qncE,0
188,【为什么中央环保督察期间四川省群众投诉举报数量最多？】#交通分享#投诉举报量第一，已办结案件数第一，被责令整改和立案处罚的企业单位最多，被约谈和问责的党员干部最多……从当前第四批中央环保督察八省区边督边改汇总情况来看，四川有些引人注目。截至8月23日，中央第五环保督察组向四川省转办的 ????...展开全文c,8月30日 09:52,3,1,赞,360安全浏览器,FjsBK1P5c,0
189,【九环线平武段力争5天抢出可供小车通行的便道】#交通动态#。8月29日下午17：30分，绵阳市交通运输局局长在平武县主持召开了九环线交通应急抢险保通保畅工作会议。施工机械将首先抢出施工便道，再用铅丝笼护脚加固的方式抢通可便道。在不出现新灾情的情况下，力争5天抢通便道，实现小车管制通行 ????...展开全文c,8月30日 09:20,5,6,1,360安全浏览器,Fjsotl0bN,0
190,#四川早安# 寻找着雨后的彩虹，渴望从美丽的色彩中看到未来的颜色。 ????早安 （图片：雅康高速泸定大渡河兴康特大桥） ????,8月30日 08:30,转发,6,10,微博 weibo.com,Fjs45cEOm,0
191,【哈哈哈哈嗝】#四川晚安#都说笑声是可以传染的，不开心的时候笑一笑，心情也会变得好起来。听听这8种魔性笑声，你坚持到了第几个？L全球视频大魔王的秒拍视频,8月29日 22:30,1,2,6,微博 weibo.com,Fjo8ybsLQ,0
192,【骑着单车欣赏美景！300辆共享单车投放理塘 】#交通动态#8月28日，理塘县在格萨尔广场举行“1步单车”投放仪式。此次“1步单车”共设置27个投放点，投放单车300辆，覆盖县城等地。收费标准为1小时1元。为规范共享单车管理，该县还制定了相关管理办法。办法规定，不能随意把共享单车丢到理塘运营 ????...展开全文c,8月29日 15:43,转发,1,2,360安全浏览器,Fjltz7XKR,0
193,【广元4A级以上景区旅游直通车全覆盖】#交通动态#通过与景区的沟通衔接，四川广运集团股份有限公司将现有广元至青溪客运班车延伸至唐家河游客中心发班；将广元至朝天客运班线延伸至雪溪洞、明月峡景区发班，并在景区内设立了专门的停车场，最大限度地方便广大旅客的出行需求。,8月29日 14:26,3,2,5,360安全浏览器,FjkY7c6vG,0
194,【武都至九寨沟高速公路WJSJ2合同段初步设计完成】#交通动态#本合同段起点位于陇南市文县尖山乡尖山村，终点位于文县石鸡坝乡水沟坪村，与四川境内九寨沟(川甘界)至绵阳高速公路起点相接，路线里程55.31公里。项目总体分布于狭窄走廊带，地形、地质条件复杂，桥隧占比达到了79.9%，代表性工程有 ????...展开全文c,8月29日 12:04,2,评论,2,360安全浏览器,Fjk2ydUVm,0
195,【前往彭州、都江堰请注意绕行】#交通动态#因近日降雨，彭州、都江堰两条公路水毁塌方断道，途经两处的亲们，请绕行哦！昨日凌晨彭州突发山洪，银白路九银桥处水毁断道，目前雨大水大，暂时无法立即抢通。都江堰蒲虹路K4+500至K6处塌方，导致路面受阻。请市民朋友绕行，注意出行安全。,8月29日 10:18,1,评论,1,360安全浏览器,FjjlKr7lf,0
196,【雅西高速荥经段塌方段 恢复单幅双向通行 车流量较大】#交通动态#昨晚因塌方断道的雅西高速荥经段圣母岗隧道附近，经现场仔细勘查，未造成车辆掩埋，未导致人员伤亡，因现场塌方面积较大，目前仍在抢通中。目前此路段已解除禁行管制，采取单幅双向通行，车流量较大。往石棉西昌方向车辆也可从荥 ????...展开全文c,8月29日 09:26,2,评论,1,360安全浏览器,Fjj0HdSxx,0
197,【成都地铁首条机场专线10号线车站亮相 地铁航空无缝对接】#交通动态#8月28日，成都地铁10号线一期车站正式亮相，6座地下车站整体采用简约时尚的现代主义风格，“祥云织绣锦，凤凰舞九天”装修设计理念，设备设施使用功能上更人性化，双流机场2航站楼站设在机场候机楼大厅负一层东侧，不用出到地 ????...展开全文c,8月29日 09:24,9,8,9,360安全浏览器,FjiZJwozh,0
198,【交通君邀你来拍一组创意情侣照，体验一把“花式秀恩爱”】#交通分享#说到拍照，把公路作为背景是个不错的题材，而咱们四川有的是“高颜值”的景观大道，在上面来一张别样的情侣照会是什么效果？今天交通君给你们放大招啦~~教你如何将情侣照拍得有趣拍出创意！ ????,8月29日 09:16,3,评论,6,360安全浏览器,FjiWszOVR,0
199,【绵阳：涪江三桥29日凌晨恢复通行】#交通动态#经过八个月的全封闭维修，涪江三桥维修加固工程提前1个月完工，将于29日凌晨恢复通行。根据国家相规定，为确保桥梁安全，今年1月30日，我市启动“涪江三桥维修加固工程”，计划工期9个月。,8月28日 17:46,转发,评论,2,360安全浏览器,FjcR4hoab,0
200,【成彭高速扩容改造工程 该项目全长18.441公里】#交通动态#该项目全长18.441公里。第一段——起点至新成都主线收费站采用双向六车道一级公路标准，设计速度60公里/小时，路基宽度26米。第二段——新成都主线收费站至大丰枢纽立交止点段采用双向六车道高速公路技术标准，设计速度80公里/小时，路 ????...展开全文c,8月28日 15:42,1,6,2,360安全浏览器,Fjc2Jl0WD,0
201,"【G85高速广渝段预计10月建成通车】#交通动态#巴（中）广（安）渝（重庆）高速公路四川省境内段已于去年底建成通车,重庆市境内段预计将于今年10月建成通车。届时,广安至重庆车程将由现在的1个半小时缩短到45分钟。该条高速公路将成为广安市南下重庆、北上西安等地最便捷的大通道,对于广安市加速 ????...展开全文c",8月28日 14:44,5,4,1,360安全浏览器,FjbFf94Uw,0
202,【九寨沟地震灾后交通治理进行时 川九路四处路段是重点】#交通动态#九寨沟地震后，周边国省路网多处塌方点和危险路段早前虽然已可以应急通行，但是治理工作仍在加紧实施。其中川九路四处路段为治理重点↓↓ ????,8月28日 11:51,2,评论,2,360安全浏览器,FjawHyrhd,1
203,【降雨致彭州、都江堰两条公路塌方断道 请绕行】#交通动态#因近日降雨，彭州都江堰两条公路水毁塌方断道，请绕行。今日凌晨彭州突发山洪，银白路九银桥处水毁断道，目前雨大水大，暂时无法立即抢通。都江堰蒲虹路K4+500至K6处塌方，导致路面受阻。请市民朋友绕行，注意出行安全。,8月28日 11:02,1,评论,赞,360安全浏览器,Fjad22FEZ,0
204,【今日起，外地公交卡也可以在成都使用了！】#市州动态#目前成都市公交集团下属公交车车载终端升级改造工作已圆满完成， 8月28日正式开通常规公交城市交通一卡通刷卡功能，实现常规公交在全国范围内的一卡通互联互通。也就是说异地发售的城市交通一卡通可在成都市公交集团下属标有“交通联合”的公交线 ????...展开全文c,8月28日 09:22,4,12,4,360安全浏览器,Fj9yAfJ30,0
205,【成都推出78个PPP项目 包含16个交通运输领域项目】#市州动态#今日，成都市发改委公布《成都市2017年政府与社会资本合作（PPP）推介项目信息表》布，此次推介的项目共78个，总投资3208亿元。其中交通运输领域项目16个，包括市域快速路、中优城市快速路及主干路改造项目等，总投资1534亿元。,8月25日 17:08,2,评论,赞,360安全浏览器,FiKk5pkax,0
206,【宜宾“纯电”公交9月上岗 两条示范线同步打造】#市州动态#新公交购置与充电站建设将同步进行，这批新公交投用后，5路、27路两条城区主要公交线路将成为“纯电动”公交的示范线。届时，宜宾全市公交车数量将达到795辆，其中268辆为插电式混合动力公交，其余为CNG（天然气）动力车。,8月25日 16:35,1,评论,赞,360安全浏览器,FiK6NgMqs,0
207,#交通分享#300米高空施工如“杂技” 站上云端再看雅康 L四川交通的秒拍视频,8月25日 15:55,1,1,3,360安全浏览器,FiJQwa6NM,0
208,【今日起 泸州公交288路延伸至城北公交枢纽站】#市州动态#开学季即将到来，为方便泸州十二中的学生上学，从8月25日起，泸州公交288路途经泸州十二中，延伸至城北公交枢纽站，首末班时间为6:00至21：30，线路走向如下↓↓,8月25日 14:35,转发,评论,赞,360安全浏览器,FiJk9cUwB,0
209,【26日起 雅西高速彝海至栗子坪段将实行交通管制】#交通动态#雅西高速西昌到成都方向冕宁段彝海安检站8月26日17时30分准时开始对限行车辆进行分流，所有货车全天禁止通行，中大型客车每日17时30分至次日9时禁止通行，管制车辆彝海安检站下高速，绕行108国道后栗子坪收费站再上高速，解除时间待定 ????...展开全文c,8月25日 11:48,3,1,赞,360安全浏览器,FiIe19hx4,0
210,【同学们，赶紧的！四川交通技师学院正式向社会招生啦！】#交通分享#近日，四川交通运输职业学校经省政府批准设立四川交通技师学院并正式向社会发布招生简章。首批招生专业涉及汽车、道桥、物流及工程机械等六大热门专业。依据相关政策，高级工、预备技师毕业生比照大专及本科学历享受待遇 ????...展开全文c,8月25日 09:49,转发,评论,2,360安全浏览器,FiHs2ptq1,0
211,【四川推出28个PPP示范项目 多个交通项目入选】#交通动态#近日，四川省财政厅公布2017年全省政府与社会资本合作（PPP）示范项目28个，总投资365.57亿元，包括巴万高速、兴文县“十三五”脱贫攻坚农村公路建设工程等多个交通项目。戳图了解↓↓O四川推出28个PPP示范项目 多个交通项目入选,8月25日 09:14,3,1,1,360安全浏览器,FiHdQsdvU,0
212,#四川早安# 几乎每个人都听过“不忘初心，方得始终”，却少有人知道下一句“初心易得，始终难守”。做任何事情，难在坚持，贵在坚持！早安? ????,8月25日 08:30,6,2,5,微博 weibo.com,FiGVBzkXh,0
213,#四川晚安#有没有外地在川的小伙伴，来说说你学会的第一句四川话是_____？ ???? ????,8月24日 22:30,转发,13,6,微博 weibo.com,FiD03B9QM,0
214,【巴中拟投放新能源汽车8000台】#市州动态#近日，新能源汽车生产线建设及便民服务项目签约仪式举行。该项目拟投放新能源汽车8000台拟在巴中市三县两区的城市周边、高速公路出口、旅游景点等两公里左右处共建设充电综合服务中心12个；计划在城市规划区内、乡镇客运站、大型物流园、工业园区及相关 ????...展开全文c,8月24日 17:40,转发,评论,3,360安全浏览器,FiB6tAvEf,0
215,【攀枝花15辆新能源公交车正式投入使用】#市州动态#本次投入使用的15台新能源车辆为10.5米LNG气电混合动力公交车，剩余车辆将于9月陆续到攀投入使用。为满足更多市民安全、环保出行需求，今年所购63台新能源公交车主要投放在经过主城区且客流较大的1路、12路、105路、113路等公交线路。,8月24日 15:47,转发,1,3,360安全浏览器,FiAmG9Fey,0
216,【注意！宜宾新增40、41路公交线路 、5、12、27、33路有调整】#市州动态#8月25日起，宜宾将新增2条公交线路，调整线路4条，撤销线路1条。新增两条公交线路一条为“下江北”至“上江北”，一条为“下江北”至“南岸”，均与临港区有关。本次线路调整包括↓↓@宜宾发布,8月24日 11:28,1,1,2,360安全浏览器,FiyFAj3aB,0
217,【8月24日 泸州长江干线全线封渡停航】#交通动态#8月23日上午，泸州市防汛抗旱指挥部发布了长江洪峰预警信息：当日上午8点长江水位6.01米，预计今日上午8点长江泸州段有洪峰过境，最高水位为8.01米，较昨天同时段水位上涨2.0米。今天泸州长江干线全线将封渡停航，待水位回落后方能开航。各区县支 ????...展开全文c,8月24日 10:46,2,评论,赞,360安全浏览器,FiyoH5nGE,0
218,【央视新闻联播点赞：四川交通建设打开脱贫致富大门】#交通分享#昨晚，央视《新闻联播》播出报道“砥砺奋进的五年 精准扶贫路 全面奔小康”，展示了我省通往甘孜藏区的第一条高速公路——雅康高速公路，并点赞四川交通扶贫工作。戳视频↓↓ L四川交通的秒拍视频 ????,8月24日 09:40,4,2,9,360安全浏览器,FixXEq6sY,0
219,#四川早安#生活不能等待别人来安排，要自己去争取和奋斗；而不论其结果是喜是悲，但可以慰藉的是，你总不枉在这世界上活了一场。有了这样的认识，你就会珍重生活，而不会玩世不恭；同时，也会给人自身注入一种强大的内在力量。——路遥 早安 ? ????,8月24日 08:30,转发,3,2,微博 weibo.com,Fixv71Msl,0
